City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Palaikastron,GR,2022-12-27 22:27:44,35.2,26.25,58.28,69,1,2.33,clear sky
126,Cherskiy,RU,2022-12-27 22:17:55,68.75,161.3,-8.77,99,100,4.38,light snow
127,Tari,NG,2022-12-27 22:27:44,12.4086,4.4914,69.89,21,1,11.79,clear sky
128,Hami,CN,2022-12-27 22:27:45,42.8,93.45,17.11,48,0,1.99,clear sky
129,Tasiilaq,GL,2022-12-27 22:19:15,65.6145,-37.6368,1.56,50,0,4.45,clear sky
130,Muisne,EC,2022-12-27 22:28:45,0.6,-80.0333,77.38,80,42,8.21,scattered clouds
131,Whitehorse,CA,2022-12-27 22:26:50,60.7161,-135.0538,18.01,85,75,20.71,broken clouds
132,Olafsvik,IS,2022-12-27 22:28:45,64.8945,-23.7142,25.5,65,27,20.49,scattered clouds
133,Mozhga,RU,2022-12-27 22:28:46,56.4447,52.2276,-7.44,100,100,3.42,overcast clouds
134,Jiwani,PK,2022-12-27 22:28:46,25.05,61.7417,73.27,75,98,4.72,light rain
135,Taltal,CL,2022-12-27 22:28:46,-25.4,-70.4833,69.73,69,18,5.91,few clouds
136,Santa Cruz Del Sur,CU,2022-12-27 22:28:47,20.7147,-77.9956,78.04,73,27,6.49,heavy intensity rain
137,Dedovichi,RU,2022-12-27 22:28:47,57.5517,29.9502,31.78,92,100,5.37,overcast clouds
138,Jalu,LY,2022-12-27 22:28:47,29.0331,21.5482,55.76,59,0,1.86,clear sky
139,Kachiry,KZ,2022-12-27 22:28:47,53.0675,76.1036,0.7,98,88,4.65,overcast clouds
140,Nanortalik,GL,2022-12-27 22:28:48,60.1432,-45.2371,24.4,85,99,7.96,overcast clouds
141,Shepsi,RU,2022-12-27 22:28:48,44.0361,39.1489,50.54,84,100,24.14,overcast clouds
142,Emerald,AU,2022-12-27 22:19:12,-23.5333,148.1667,74.34,56,0,10.47,clear sky
143,Nueve De Julio,AR,2022-12-27 22:28:48,-35.4444,-60.8831,93.9,13,11,8.14,few clouds
144,Lebu,CL,2022-12-27 22:17:17,-37.6167,-73.65,58.08,69,98,24.11,overcast clouds
145,Vila Velha,BR,2022-12-27 22:28:49,-20.3297,-40.2925,76.95,83,40,12.66,scattered clouds
146,Castro,BR,2022-12-27 22:19:27,-24.7911,-50.0119,67.1,88,21,4.56,few clouds
147,Konevo,RU,2022-12-27 22:28:49,62.1215,39.3192,13.53,93,100,9.42,overcast clouds
148,Stepnogorsk,KZ,2022-12-27 22:28:49,52.3544,71.8869,6.1,91,63,8.43,broken clouds
149,Praia Da Vitoria,PT,2022-12-27 22:28:50,38.7333,-27.0667,61.05,94,75,10.6,light rain
